variables,units,values,description
floatingse.member4.grid_axial_joints,,[],
floatingse.member4.bulkhead_grid,,[0. 1.],
floatingse.member4.bulkhead_thickness,m,[0.02 0.02],
floatingse.member4.ring_stiffener_web_height,m,[0.],
floatingse.member4.ring_stiffener_web_thickness,m,[0.],
floatingse.member4.ring_stiffener_flange_width,m,[0.],
floatingse.member4.ring_stiffener_flange_thickness,m,[0.],
floatingse.member4.ring_stiffener_spacing,,[0.],
floatingse.member4.axial_stiffener_web_height,m,[0.],
floatingse.member4.axial_stiffener_web_thickness,m,[0.],
floatingse.member4.axial_stiffener_flange_width,m,[0.],
floatingse.member4.axial_stiffener_flange_thickness,m,[0.],
floatingse.member4.axial_stiffener_spacing,rad,[0.],
floatingse.member4.ballast_grid,,[],
floatingse.member4.ballast_density,kg/m**3,[],
floatingse.member4.ballast_volume,m**3,[],
floatingse.member4.ballast_unit_cost,USD/kg,[],
floatingse.member4.s_ghost1,,[0.09661836],
floatingse.member4.s_ghost2,,[0.87922705],
floatingse.member4.s_all,,"[ 0.00000000e+00  9.66183575e-02  9.70048309e-02  5.00000000e-01
  8.78840580e-01  8.79227053e-01  1.00000000e+00 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03]",
floatingse.member4.nodes_xyz,m,"[[ 0.00000000e+00  0.00000000e+00  1.45450000e+01]
 [-5.00000000e+00  1.79489651e-08  1.45450000e+01]
 [-5.02000000e+00  1.80207610e-08  1.45450000e+01]
 [-2.58750000e+01  9.28858946e-08  1.45450000e+01]
 [-4.54800000e+01  1.63263787e-07  1.45450000e+01]
 [-4.55000000e+01  1.63335583e-07  1.45450000e+01]
 [-5.17500000e+01  1.85771789e-07  1.45450000e+01]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]]",
floatingse.member4.env.z,m,[14.545 14.545 14.545],
floatingse.member4.env.windLoads.U,m/s,[14.8851591 14.8851591 14.8851591],
floatingse.member4.env.d,m,[4.70924741e+09 4.70924741e+09 4.70924741e+09],
floatingse.member4.env.waveLoads.U,m/s,[0. 0. 0.],
floatingse.member4.env.waveLoads.A,m/s**2,[0. 0. 0.],
floatingse.member4.env.waveLoads.p,N/m**2,[0. 0. 0.],
floatingse.member4.env.distLoads.windLoads_Px,N/m,[8.83308811e+14 8.83308811e+14 8.83308811e+14],
floatingse.member4.env.distLoads.windLoads_Py,N/m,[0. 0. 0.],
floatingse.member4.env.distLoads.windLoads_Pz,N/m,[0. 0. 0.],
floatingse.member4.env.distLoads.windLoads_qdyn,N/m**2,[135.71037634 135.71037634 135.71037634],
floatingse.member4.env.distLoads.windLoads_z,m,[14.545 14.545 14.545],
floatingse.member4.env.distLoads.windLoads_beta,deg,[0.],
floatingse.member4.env.distLoads.waveLoads_Px,N/m,[0. 0. 0.],
floatingse.member4.env.distLoads.waveLoads_Py,N/m,[0. 0. 0.],
floatingse.member4.env.distLoads.waveLoads_Pz,N/m,[0. 0. 0.],
floatingse.member4.env.distLoads.waveLoads_qdyn,N/m**2,[0. 0. 0.],
floatingse.member4.env.distLoads.waveLoads_z,m,[14.545 14.545 14.545],
floatingse.member4.env.distLoads.waveLoads_beta,deg,[0.],
floatingse.member4.yaw,deg,[0.],
floatingse.member4.g2e.Px_global,N/m,[8.83308811e+14 8.83308811e+14 8.83308811e+14],
floatingse.member4.g2e.Py_global,N/m,[0. 0. 0.],
floatingse.member4.g2e.Pz_global,N/m,[0. 0. 0.],
floatingse.member4.g2e.qdyn_global,Pa,[135.71037634 135.71037634 135.71037634],
floatingse.member5.s,,[0. 1.],
floatingse.member5.joint1,m,[ 0.     0.    14.545],
floatingse.member5.joint2,m,[25.87500224 44.81681335 14.545     ],
floatingse.member5.layer_thickness,m,[[0.02 0.02]],
floatingse.member5.outer_diameter_in,m,[0.91 0.91],
floatingse.member5.E_user,Pa,[0.],
floatingse.member5.outfitting_factor_in,,[1.],
floatingse.member5.layer_materials,Unavailable,['steel'],
floatingse.member5.ballast_materials,Unavailable,[],
floatingse.member5.gc.d,m,[0.91 0.91],
floatingse.member5.gc.t,m,[0.02],
floatingse.member5.height,m,[51.75],
floatingse.member5.outer_diameter,m,[0.91 0.91],
floatingse.member5.wall_thickness,m,[0.02],
floatingse.member5.E,Pa,[2.e+11],
floatingse.member5.G,Pa,[7.93e+10],
floatingse.member5.sigma_y,Pa,[3.45e+08],
floatingse.member5.rho,kg/m**3,[7748.31238939],
floatingse.member5.unit_cost,USD/kg,[0.7],
floatingse.member5.outfitting_factor,,[1.],
floatingse.member5.s_full,m,[0.  0.5 1. ],
floatingse.member5.z_full,m,[ 0.    25.875 51.75 ],
floatingse.member5.d_full,m,[0.91 0.91 0.91],
floatingse.member5.t_full,m,[0.02 0.02],
floatingse.member5.E_full,Pa,[2.e+11 2.e+11],
floatingse.member5.G_full,Pa,[7.93e+10 7.93e+10],
floatingse.member5.rho_full,kg/m**3,[7748.31238939 7748.31238939],
floatingse.member5.sigma_y_full,Pa,[3.45e+08 3.45e+08],
floatingse.member5.unit_cost_full,USD/kg,[0.7 0.7],
floatingse.member5.outfitting_full,,[1. 1.],
floatingse.member5.grid_axial_joints,,[],
floatingse.member5.bulkhead_grid,,[0. 1.],
floatingse.member5.bulkhead_thickness,m,[0.02 0.02],
floatingse.member5.ring_stiffener_web_height,m,[0.],
floatingse.member5.ring_stiffener_web_thickness,m,[0.],
floatingse.member5.ring_stiffener_flange_width,m,[0.],
floatingse.member5.ring_stiffener_flange_thickness,m,[0.],
floatingse.member5.ring_stiffener_spacing,,[0.],
floatingse.member5.axial_stiffener_web_height,m,[0.],
floatingse.member5.axial_stiffener_web_thickness,m,[0.],
floatingse.member5.axial_stiffener_flange_width,m,[0.],
floatingse.member5.axial_stiffener_flange_thickness,m,[0.],
floatingse.member5.axial_stiffener_spacing,rad,[0.],
floatingse.member5.ballast_grid,,[],
floatingse.member5.ballast_density,kg/m**3,[],
floatingse.member5.ballast_volume,m**3,[],
floatingse.member5.ballast_unit_cost,USD/kg,[],
floatingse.member5.s_ghost1,,[0.09661836],
floatingse.member5.s_ghost2,,[0.87922705],
floatingse.member5.s_all,,"[ 0.00000000e+00  9.66183575e-02  9.70048309e-02  5.00000000e-01
  8.78840580e-01  8.79227053e-01  1.00000000e+00 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03]",
